material_code,location_code,date,quantity
CC-F01            ,2,02-07-2019,0
CC-F01            ,2,03-07-2019,0
CC-F01            ,2,04-07-2019,600
CC-F01            ,2,05-07-2019,18403
CC-F01            ,2,08-07-2019,16153
CC-F01            ,2,09-07-2019,33903
CC-F01            ,2,10-07-2019,37653
CC-F01            ,2,23-07-2019,17403
CC-F01            ,2,24-07-2019,15153
CC-F01            ,2,25-07-2019,12903
CC-F01            ,2,26-07-2019,10653
CC-F01            ,2,29-07-2019,8403
CC-F01            ,2,30-07-2019,6153
CC-F01            ,2,31-07-2019,3903
CC-F01            ,2,01-08-2019,1653
CC-F01            ,2,02-08-2019,3
CC-F01            ,2,05-08-2019,3
CC-F01            ,2,06-08-2019,3
CC-F01            ,2,07-08-2019,3
CC-F01            ,2,08-08-2019,3
CC-F01            ,2,09-08-2019,19003
CC-F01            ,2,12-08-2019,16753
CC-F01            ,2,13-08-2019,14503
CC-F01            ,2,11-07-2019,35403
CC-F01            ,2,12-07-2019,33153
CC-F01            ,2,15-07-2019,30903
CC-F01            ,2,16-07-2019,28653
CC-F01            ,2,17-07-2019,26403
CC-F01            ,2,18-07-2019,24153
CC-F01            ,2,19-07-2019,21903
CC-F01            ,2,22-07-2019,19653
CC-F01            ,2,14-08-2019,12253
CC-F01            ,2,15-08-2019,10003
CC-F01            ,2,16-08-2019,8953
CC-F01            ,2,19-08-2019,24503
CC-F01            ,2,20-08-2019,22253
CC-F01            ,2,21-08-2019,20003
CC-F01            ,2,22-08-2019,17753
CC-F01            ,2,23-08-2019,19703
CC-F01            ,2,26-08-2019,32253
CC-F01            ,2,27-08-2019,30003
CC-F01            ,2,28-08-2019,27753
CC-F01            ,2,29-08-2019,25503
CC-F01            ,2,30-08-2019,23253
CC-F01            ,2,02-09-2019,21003
CC-F01            ,2,03-09-2019,18753
CC-F01            ,2,04-09-2019,16503
CC-F01            ,2,05-09-2019,14253
CC-F01            ,2,06-09-2019,12003
CC-F01            ,2,09-09-2019,9753
CC-F01            ,2,10-09-2019,19750
CC-F01            ,2,11-09-2019,24253
CC-F01            ,2,12-09-2019,22003
CC-F01            ,2,13-09-2019,19753
CC-F01            ,2,16-09-2019,17503
CC-F01            ,2,17-09-2019,15253
CC-F01            ,2,18-09-2019,13003
CC-F01            ,2,19-09-2019,10753
CC-F01            ,2,20-09-2019,8503
CC-F01            ,2,23-09-2019,6253
CC-F01            ,2,24-09-2019,4003
CC-F01            ,2,25-09-2019,18783
CC-F01            ,2,26-09-2019,18503
CC-F01            ,2,27-09-2019,16253
CC-F01            ,2,30-09-2019,14003
CC-F01            ,2,01-10-2019,11753
CC-F01            ,2,02-10-2019,9503
CC-F01            ,2,03-10-2019,7253
CC-F01            ,2,04-10-2019,5003
CC-F01            ,2,07-10-2019,2753
CC-F01            ,2,08-10-2019,503
CC-F01            ,2,09-10-2019,2
CC-F01            ,2,10-10-2019,2
CC-F01            ,2,11-10-2019,2
CC-F01            ,2,14-10-2019,2
CC-F01            ,2,15-10-2019,20347
CC-F01            ,2,16-10-2019,43752
CC-F01            ,2,17-10-2019,41502
CC-F01            ,2,18-10-2019,39252
CC-F01            ,2,21-10-2019,37002
CC-F01            ,2,22-10-2019,34752
CC-F01            ,2,23-10-2019,32502
CC-F01            ,2,24-10-2019,30252
CC-F01            ,2,25-10-2019,28002
CC-F01            ,2,28-10-2019,25752
CC-F01            ,2,29-10-2019,23502
CC-F01            ,2,30-10-2019,21252
CC-F01            ,2,31-10-2019,19002
CC-F01            ,2,01-11-2019,16752
CC-F01            ,2,04-11-2019,14502
CC-F01            ,2,05-11-2019,12252
CC-F01            ,2,06-11-2019,10002
CC-F01            ,2,07-11-2019,20866
CC-F01            ,2,08-11-2019,25502
CC-F01            ,2,11-11-2019,23252
CC-F01            ,2,12-11-2019,21002
CC-F01            ,2,13-11-2019,18752
CC-F01            ,2,14-11-2019,16502
CC-F01            ,2,15-11-2019,14252
CC-F01            ,2,18-11-2019,12002
CC-F01            ,2,19-11-2019,29752
CC-F01            ,2,20-11-2019,27502
CC-F01            ,2,21-11-2019,25252
CC-F01            ,2,22-11-2019,23002
CC-F01            ,2,25-11-2019,20752
CC-F01            ,2,26-11-2019,18502
CC-F01            ,2,27-11-2019,18675
CC-F01            ,2,28-11-2019,35002
CC-F01            ,2,29-11-2019,32752
CC-F01            ,2,02-12-2019,30502
CC-F01            ,2,03-12-2019,28252
CC-F01            ,2,04-12-2019,26002
CC-F01            ,2,05-12-2019,23752
CC-F01            ,2,06-12-2019,21502
CC-F01            ,2,09-12-2019,19252
CC-F01            ,2,10-12-2019,17002
CC-F01            ,2,11-12-2019,14752
CC-F01            ,2,12-12-2019,18376
CC-F01            ,2,13-12-2019,31252
CC-F01            ,2,16-12-2019,29002
CC-F01            ,2,17-12-2019,26752
CC-F01            ,2,18-12-2019,24502
CC-F01            ,2,19-12-2019,22252
CC-F01            ,2,20-12-2019,20002
CC-F01            ,2,23-12-2019,17752
CC-F01            ,2,24-12-2019,15502
CC-F01            ,2,25-12-2019,13252
CC-F01            ,2,26-12-2019,23760
CC-F01            ,2,27-12-2019,29752
CC-F01            ,2,30-12-2019,27502
CC-F01            ,2,31-12-2019,25252
CC-F01            ,2,02-01-2020,23002
CC-F01            ,2,03-01-2020,20752
CC-F01            ,2,06-01-2020,18502
CC-F01            ,2,07-01-2020,16252
CC-F01            ,2,08-01-2020,14002
CC-F01            ,2,09-01-2020,32752
CC-F01            ,2,10-01-2020,30502
CC-F01            ,2,13-01-2020,28252
CC-F01            ,2,14-01-2020,26002
CC-F01            ,2,15-01-2020,23002
CC-F01            ,2,16-01-2020,20002
CC-F01            ,2,17-01-2020,17002
CC-F01            ,2,20-01-2020,14002
CC-F01            ,2,21-01-2020,11002
CC-F01            ,2,22-01-2020,10942
CC-F01            ,2,23-01-2020,27002
CC-F01            ,2,24-01-2020,24002
CC-F01            ,2,28-01-2020,21002
CC-F01            ,2,29-01-2020,18002
CC-F01            ,2,30-01-2020,15002
CC-F01            ,2,31-01-2020,12002
CC-F01            ,2,03-02-2020,9002
CC-F01            ,2,04-02-2020,6002
CC-F01            ,2,05-02-2020,3002
CC-F01            ,2,06-02-2020,8812
CC-F01            ,2,07-02-2020,19002
CC-F01            ,2,10-02-2020,16002
CC-F01            ,2,11-02-2020,13002
CC-F01            ,2,12-02-2020,10002
CC-F01            ,2,13-02-2020,7002
CC-F01            ,2,14-02-2020,4002
CC-F01            ,2,17-02-2020,1002
CC-F01            ,2,18-02-2020,3
CC-F01            ,2,19-02-2020,3
CC-F01            ,2,20-02-2020,3
CC-F01            ,2,21-02-2020,23398
CC-F01            ,2,24-02-2020,22311
CC-F01            ,2,25-02-2020,19311
CC-F01            ,2,26-02-2020,16311
CC-F01            ,2,27-02-2020,13311
CC-F01            ,2,28-02-2020,10311
CC-F01            ,2,02-03-2020,7311
CC-F01            ,2,03-03-2020,4311
CC-F01            ,2,04-03-2020,1311
CC-F01            ,2,05-03-2020,3
CC-F01            ,2,06-03-2020,23003
CC-F01            ,2,10-03-2020,20003
CC-F01            ,2,11-03-2020,17003
CC-F01            ,2,12-03-2020,14003
CC-F01            ,2,13-03-2020,11003
CC-F01            ,2,16-03-2020,8003
CC-F01            ,2,17-03-2020,5003
CC-F01            ,2,18-03-2020,2003
CC-F01            ,2,19-03-2020,2
CC-F01            ,2,20-03-2020,2
CC-F01            ,2,23-03-2020,2
CC-F01            ,2,24-03-2020,2
CC-F01            ,2,25-03-2020,1031
CC-F01            ,2,26-03-2020,21973
CC-F01            ,2,27-03-2020,18973
CC-F01            ,2,30-03-2020,15973
CC-F01            ,2,31-03-2020,12973
CC-F01            ,2,01-04-2020,9973
CC-F01            ,2,02-04-2020,6973
CC-F01            ,2,03-04-2020,3973
CC-F01            ,2,06-04-2020,23973
CC-F01            ,2,07-04-2020,20973
CC-F01            ,2,08-04-2020,17973
CC-F01            ,2,09-04-2020,14973
CC-F01            ,2,14-04-2020,11973
CC-F01            ,2,15-04-2020,8973
CC-F01            ,2,16-04-2020,5973
CC-F01            ,2,17-04-2020,2973
CC-F01            ,2,20-04-2020,3
CC-F01            ,2,21-04-2020,3
CC-F01            ,2,22-04-2020,3
CC-F01            ,2,23-04-2020,3676
CC-F01            ,2,24-04-2020,20003
CC-F01            ,2,27-04-2020,17003
CC-F01            ,2,28-04-2020,14003
CC-F01            ,2,29-04-2020,11003
CC-F01            ,2,30-04-2020,8003
CC-F01            ,2,01-05-2020,5003
CC-F01            ,2,04-05-2020,2003
CC-F01            ,2,05-05-2020,6835
CC-F01            ,2,06-05-2020,20002
CC-F01            ,2,07-05-2020,17002
CC-F01            ,2,08-05-2020,14002
CC-F01            ,2,11-05-2020,11002
CC-F01            ,02N ,02-07-2019,0
CC-F01            ,02N ,03-07-2019,0
CC-F01            ,02N ,04-07-2019,0
CC-F01            ,02N ,05-07-2019,199
CC-F01            ,02N ,08-07-2019,949
CC-F01            ,02N ,09-07-2019,750
CC-F01            ,02N ,10-07-2019,750
CC-F01            ,02N ,11-07-2019,1500
CC-F01            ,02N ,12-07-2019,750
CC-F01            ,02N ,15-07-2019,1500
CC-F01            ,02N ,16-07-2019,2250
CC-F01            ,02N ,17-07-2019,750
CC-F01            ,02N ,18-07-2019,1500
CC-F01            ,02N ,19-07-2019,2250
CC-F01            ,02N ,22-07-2019,750
CC-F01            ,02N ,23-07-2019,1500
CC-F01            ,02N ,24-07-2019,2250
CC-F01            ,02N ,25-07-2019,3000
CC-F01            ,02N ,26-07-2019,3750
CC-F01            ,02N ,29-07-2019,4500
CC-F01            ,02N ,30-07-2019,5250
CC-F01            ,02N ,31-07-2019,927
CC-F01            ,02N ,01-08-2019,1677
CC-F01            ,02N ,02-08-2019,550
CC-F01            ,02N ,05-08-2019,550
CC-F01            ,02N ,06-08-2019,550
CC-F01            ,02N ,07-08-2019,550
CC-F01            ,02N ,08-08-2019,550
CC-F01            ,02N ,09-08-2019,550
CC-F01            ,02N ,12-08-2019,1300
CC-F01            ,02N ,13-08-2019,2050
CC-F01            ,02N ,14-08-2019,2800
CC-F01            ,02N ,15-08-2019,3550
CC-F01            ,02N ,16-08-2019,750
CC-F01            ,02N ,19-08-2019,1500
CC-F01            ,02N ,20-08-2019,2250
CC-F01            ,02N ,21-08-2019,3000
CC-F01            ,02N ,22-08-2019,3750
CC-F01            ,02N ,23-08-2019,750
CC-F01            ,02N ,26-08-2019,1500
CC-F01            ,02N ,27-08-2019,2250
CC-F01            ,02N ,28-08-2019,3000
CC-F01            ,02N ,29-08-2019,3750
CC-F01            ,02N ,30-08-2019,4500
CC-F01            ,02N ,02-09-2019,5250
CC-F01            ,02N ,03-09-2019,750
CC-F01            ,02N ,04-09-2019,1500
CC-F01            ,02N ,05-09-2019,2250
CC-F01            ,02N ,06-09-2019,3000
CC-F01            ,02N ,09-09-2019,3750
CC-F01            ,02N ,10-09-2019,4500
CC-F01            ,02N ,11-09-2019,750
CC-F01            ,02N ,12-09-2019,1500
CC-F01            ,02N ,13-09-2019,2250
CC-F01            ,02N ,16-09-2019,3000
CC-F01            ,02N ,17-09-2019,3750
CC-F01            ,02N ,18-09-2019,750
CC-F01            ,02N ,19-09-2019,1500
CC-F01            ,02N ,20-09-2019,2250
CC-F01            ,02N ,23-09-2019,3000
CC-F01            ,02N ,24-09-2019,3750
CC-F01            ,02N ,25-09-2019,750
CC-F01            ,02N ,26-09-2019,1500
CC-F01            ,02N ,27-09-2019,2250
CC-F01            ,02N ,30-09-2019,3000
CC-F01            ,02N ,01-10-2019,750
CC-F01            ,02N ,02-10-2019,1500
CC-F01            ,02N ,03-10-2019,2250
CC-F01            ,02N ,04-10-2019,3000
CC-F01            ,02N ,07-10-2019,3750
CC-F01            ,02N ,08-10-2019,4500
CC-F01            ,02N ,09-10-2019,167
CC-F01            ,02N ,10-10-2019,167
CC-F01            ,02N ,11-10-2019,167
CC-F01            ,02N ,14-10-2019,167
CC-F01            ,02N ,15-10-2019,167
CC-F01            ,02N ,16-10-2019,917
CC-F01            ,02N ,17-10-2019,1667
CC-F01            ,02N ,18-10-2019,2417
CC-F01            ,02N ,21-10-2019,3167
CC-F01            ,02N ,22-10-2019,750
CC-F01            ,02N ,23-10-2019,1500
CC-F01            ,02N ,24-10-2019,2250
CC-F01            ,02N ,25-10-2019,3000
CC-F01            ,02N ,28-10-2019,3750
CC-F01            ,02N ,29-10-2019,750
CC-F01            ,02N ,30-10-2019,1500
CC-F01            ,02N ,31-10-2019,2250
CC-F01            ,02N ,01-11-2019,3000
CC-F01            ,02N ,04-11-2019,750
CC-F01            ,02N ,05-11-2019,1500
CC-F01            ,02N ,06-11-2019,2250
CC-F01            ,02N ,07-11-2019,3000
CC-F01            ,02N ,08-11-2019,750
CC-F01            ,02N ,11-11-2019,1500
CC-F01            ,02N ,12-11-2019,2250
CC-F01            ,02N ,13-11-2019,3000
CC-F01            ,02N ,14-11-2019,3750
CC-F01            ,02N ,15-11-2019,750
CC-F01            ,02N ,18-11-2019,1500
CC-F01            ,02N ,19-11-2019,2250
CC-F01            ,02N ,20-11-2019,3000
CC-F01            ,02N ,21-11-2019,750
CC-F01            ,02N ,22-11-2019,1500
CC-F01            ,02N ,25-11-2019,2250
CC-F01            ,02N ,26-11-2019,3000
CC-F01            ,02N ,27-11-2019,3750
CC-F01            ,02N ,28-11-2019,750
CC-F01            ,02N ,29-11-2019,1500
CC-F01            ,02N ,02-12-2019,2250
CC-F01            ,02N ,03-12-2019,3000
CC-F01            ,02N ,04-12-2019,750
CC-F01            ,02N ,05-12-2019,1500
CC-F01            ,02N ,06-12-2019,2250
CC-F01            ,02N ,09-12-2019,3000
CC-F01            ,02N ,10-12-2019,3750
CC-F01            ,02N ,11-12-2019,750
CC-F01            ,02N ,12-12-2019,1500
CC-F01            ,02N ,13-12-2019,2250
CC-F01            ,02N ,16-12-2019,3000
CC-F01            ,02N ,17-12-2019,3750
CC-F01            ,02N ,18-12-2019,4500
CC-F01            ,02N ,19-12-2019,750
CC-F01            ,02N ,20-12-2019,1500
CC-F01            ,02N ,23-12-2019,2250
CC-F01            ,02N ,24-12-2019,3000
CC-F01            ,02N ,25-12-2019,750
CC-F01            ,02N ,26-12-2019,1500
CC-F01            ,02N ,27-12-2019,2250
CC-F01            ,02N ,30-12-2019,3000
CC-F01            ,02N ,31-12-2019,750
CC-F01            ,02N ,02-01-2020,1500
CC-F01            ,02N ,03-01-2020,2250
CC-F01            ,02N ,06-01-2020,3000
CC-F01            ,02N ,07-01-2020,3750
CC-F01            ,02N ,08-01-2020,750
CC-F01            ,02N ,09-01-2020,1500
CC-F01            ,02N ,10-01-2020,2250
CC-F01            ,02N ,13-01-2020,750
CC-F01            ,02N ,14-01-2020,1500
CC-F01            ,02N ,15-01-2020,2500
CC-F01            ,02N ,16-01-2020,3500
CC-F01            ,02N ,17-01-2020,4500
CC-F01            ,02N ,20-01-2020,1000
CC-F01            ,02N ,21-01-2020,2000
CC-F01            ,02N ,22-01-2020,3000
CC-F01            ,02N ,23-01-2020,4000
CC-F01            ,02N ,24-01-2020,1000
CC-F01            ,02N ,28-01-2020,2000
CC-F01            ,02N ,29-01-2020,3000
CC-F01            ,02N ,30-01-2020,1000
CC-F01            ,02N ,31-01-2020,2000
CC-F01            ,02N ,03-02-2020,3000
CC-F01            ,02N ,04-02-2020,1000
CC-F01            ,02N ,05-02-2020,2000
CC-F01            ,02N ,06-02-2020,3000
CC-F01            ,02N ,07-02-2020,4000
CC-F01            ,02N ,10-02-2020,1000
CC-F01            ,02N ,11-02-2020,2000
CC-F01            ,02N ,12-02-2020,3000
CC-F01            ,02N ,13-02-2020,4000
CC-F01            ,02N ,14-02-2020,5000
CC-F01            ,02N ,17-02-2020,2234
CC-F01            ,02N ,18-02-2020,2567
CC-F01            ,02N ,19-02-2020,2567
CC-F01            ,02N ,20-02-2020,0
CC-F01            ,02N ,21-02-2020,0
CC-F01            ,02N ,24-02-2020,1000
CC-F01            ,02N ,25-02-2020,2000
CC-F01            ,02N ,26-02-2020,3000
CC-F01            ,02N ,27-02-2020,1000
CC-F01            ,02N ,28-02-2020,2000
CC-F01            ,02N ,02-03-2020,3000
CC-F01            ,02N ,03-03-2020,1000
CC-F01            ,02N ,04-03-2020,2000
CC-F01            ,02N ,05-03-2020,436
CC-F01            ,02N ,06-03-2020,436
CC-F01            ,02N ,10-03-2020,1436
CC-F01            ,02N ,11-03-2020,2436
CC-F01            ,02N ,12-03-2020,3436
CC-F01            ,02N ,13-03-2020,4436
CC-F01            ,02N ,16-03-2020,5436
CC-F01            ,02N ,17-03-2020,1000
CC-F01            ,02N ,18-03-2020,2000
CC-F01            ,02N ,19-03-2020,2667
CC-F01            ,02N ,20-03-2020,2667
CC-F01            ,02N ,23-03-2020,2667
CC-F01            ,02N ,24-03-2020,2667
CC-F01            ,02N ,25-03-2020,2667
CC-F01            ,02N ,26-03-2020,3010
CC-F01            ,02N ,27-03-2020,1000
CC-F01            ,02N ,30-03-2020,2000
CC-F01            ,02N ,31-03-2020,3000
CC-F01            ,02N ,01-04-2020,1000
CC-F01            ,02N ,02-04-2020,2000
CC-F01            ,02N ,03-04-2020,3000
CC-F01            ,02N ,06-04-2020,4000
CC-F01            ,02N ,07-04-2020,1000
CC-F01            ,02N ,08-04-2020,2000
CC-F01            ,02N ,09-04-2020,3000
CC-F01            ,02N ,14-04-2020,4000
CC-F01            ,02N ,15-04-2020,1000
CC-F01            ,02N ,16-04-2020,2000
CC-F01            ,02N ,17-04-2020,1000
CC-F01            ,02N ,20-04-2020,1990
CC-F01            ,02N ,21-04-2020,1990
CC-F01            ,02N ,22-04-2020,1990
CC-F01            ,02N ,23-04-2020,1990
CC-F01            ,02N ,24-04-2020,2990
CC-F01            ,02N ,27-04-2020,1000
CC-F01            ,02N ,28-04-2020,1000
CC-F01            ,02N ,29-04-2020,2000
CC-F01            ,02N ,30-04-2020,3000
CC-F01            ,02N ,01-05-2020,4000
CC-F01            ,02N ,04-05-2020,1000
CC-F01            ,02N ,05-05-2020,1667
CC-F01            ,02N ,06-05-2020,2667
CC-F01            ,02N ,07-05-2020,3667
CC-F01            ,02N ,08-05-2020,1000
CC-F01            ,02N ,11-05-2020,2000
CC-F01            ,02S ,02-07-2019,0
CC-F01            ,02S ,03-07-2019,0
CC-F01            ,02S ,04-07-2019,0
CC-F01            ,02S ,05-07-2019,199
CC-F01            ,02S ,08-07-2019,949
CC-F01            ,02S ,09-07-2019,750
CC-F01            ,02S ,10-07-2019,750
CC-F01            ,02S ,11-07-2019,750
CC-F01            ,02S ,12-07-2019,1500
CC-F01            ,02S ,15-07-2019,750
CC-F01            ,02S ,16-07-2019,1500
CC-F01            ,02S ,17-07-2019,750
CC-F01            ,02S ,18-07-2019,1500
CC-F01            ,02S ,19-07-2019,2250
CC-F01            ,02S ,22-07-2019,3000
CC-F01            ,02S ,23-07-2019,750
CC-F01            ,02S ,24-07-2019,1500
CC-F01            ,02S ,25-07-2019,2250
CC-F01            ,02S ,26-07-2019,3000
CC-F01            ,02S ,29-07-2019,3750
CC-F01            ,02S ,30-07-2019,4500
CC-F01            ,02S ,31-07-2019,750
CC-F01            ,02S ,01-08-2019,1500
CC-F01            ,02S ,02-08-2019,550
CC-F01            ,02S ,05-08-2019,550
CC-F01            ,02S ,06-08-2019,550
CC-F01            ,02S ,07-08-2019,550
CC-F01            ,02S ,08-08-2019,550
CC-F01            ,02S ,09-08-2019,550
CC-F01            ,02S ,12-08-2019,1300
CC-F01            ,02S ,13-08-2019,2050
CC-F01            ,02S ,14-08-2019,2800
CC-F01            ,02S ,15-08-2019,750
CC-F01            ,02S ,16-08-2019,1500
CC-F01            ,02S ,19-08-2019,2250
CC-F01            ,02S ,20-08-2019,750
CC-F01            ,02S ,21-08-2019,1500
CC-F01            ,02S ,22-08-2019,2250
CC-F01            ,02S ,23-08-2019,3000
CC-F01            ,02S ,26-08-2019,3750
CC-F01            ,02S ,27-08-2019,4500
CC-F01            ,02S ,28-08-2019,750
CC-F01            ,02S ,29-08-2019,1500
CC-F01            ,02S ,30-08-2019,2250
CC-F01            ,02S ,02-09-2019,3000
CC-F01            ,02S ,03-09-2019,3750
CC-F01            ,02S ,04-09-2019,4500
CC-F01            ,02S ,05-09-2019,750
CC-F01            ,02S ,06-09-2019,1500
CC-F01            ,02S ,09-09-2019,2250
CC-F01            ,02S ,10-09-2019,3000
CC-F01            ,02S ,11-09-2019,3750
CC-F01            ,02S ,12-09-2019,4500
CC-F01            ,02S ,13-09-2019,750
CC-F01            ,02S ,16-09-2019,1500
CC-F01            ,02S ,17-09-2019,2250
