order_number,material_code,quantity,start_date,end_date
1000012,CC-F01            ,26000,09-07-2019,10-07-2019
1000013,CC-F01            ,19000,04-07-2019,05-07-2019
1000014,CC-F02            ,26000,05-07-2019,08-07-2019
1000016,CC-F02            ,19000,04-07-2019,04-07-2019
1000019,CC-F03            ,26000,10-07-2019,11-07-2019
1000021,CC-F03            ,19000,17-07-2019,18-07-2019
1000023,CC-F04            ,26000,16-07-2019,17-07-2019
1000024,CC-F04            ,19000,15-07-2019,16-07-2019
1000026,CC-F05            ,26000,11-07-2019,12-07-2019
1000028,CC-F05            ,19000,12-07-2019,15-07-2019
1000030,CC-F06            ,26000,18-07-2019,19-07-2019
1000031,CC-F06            ,19000,26-07-2019,29-07-2019
1000032,CC-F11            ,26000,25-07-2019,26-07-2019
1000033,CC-F11            ,19000,22-07-2019,23-07-2019
1000034,CC-F12            ,26000,23-07-2019,24-07-2019
1000035,CC-F12            ,19000,19-07-2019,22-07-2019
1000036,CC-F13            ,26000,29-07-2019,30-07-2019
1000037,CC-F13            ,19000,07-08-2019,07-08-2019
1000038,CC-F14            ,26000,05-08-2019,06-08-2019
1000039,CC-F14            ,19000,31-07-2019,01-08-2019
1000040,CC-F15            ,26000,01-08-2019,02-08-2019
1000041,CC-F15            ,19000,02-08-2019,05-08-2019
1000042,CC-F16            ,26000,30-07-2019,31-07-2019
1000043,CC-F16            ,19000,08-08-2019,08-08-2019
1000110,CC-F01            ,19000,09-08-2019,09-08-2019
1000111,CC-F02            ,19000,13-08-2019,13-08-2019
1000112,CC-F03            ,19000,12-08-2019,12-08-2019
1000153,CC-F01            ,19000,16-08-2019,19-08-2019
1000154,CC-F02            ,19000,14-08-2019,15-08-2019
1000155,CC-F03            ,19000,15-08-2019,16-08-2019
1000156,CC-F04            ,19000,14-08-2019,14-08-2019
1000157,CC-F05            ,19000,19-08-2019,20-08-2019
1000158,CC-F06            ,19000,22-08-2019,23-08-2019
1000159,CC-F11            ,19000,21-08-2019,22-08-2019
1000160,CC-F12            ,19000,20-08-2019,21-08-2019
1000172,CC-F01            ,19000,23-08-2019,26-08-2019
1000173,CC-F02            ,19000,27-08-2019,28-08-2019
1000174,CC-F03            ,19000,26-08-2019,27-08-2019
1000176,CC-F04            ,19000,28-08-2019,29-08-2019
1000179,CC-F05            ,19000,03-09-2019,04-09-2019
1000182,CC-F06            ,19000,30-08-2019,02-09-2019
