material_code,date,production_yield
CC-F01            ,04-07-2019,600
CC-F01            ,05-07-2019,18400
CC-F01            ,09-07-2019,20000
CC-F01            ,10-07-2019,6000
CC-F01            ,09-08-2019,19000
CC-F01            ,16-08-2019,1200
CC-F01            ,19-08-2019,17800
CC-F01            ,23-08-2019,4200
CC-F01            ,26-08-2019,14800
CC-F01            ,10-09-2019,12247
CC-F01            ,11-09-2019,6753
CC-F01            ,25-09-2019,17030
CC-F01            ,26-09-2019,1970
CC-F01            ,15-10-2019,20345
CC-F01            ,16-10-2019,25655
CC-F01            ,07-11-2019,13114
CC-F01            ,08-11-2019,6886
CC-F01            ,19-11-2019,20000
CC-F01            ,27-11-2019,2423
CC-F01            ,28-11-2019,18577
CC-F01            ,12-12-2019,5874
CC-F01            ,13-12-2019,15126
CC-F01            ,26-12-2019,12758
CC-F01            ,27-12-2019,8242
CC-F01            ,09-01-2020,21000
CC-F01            ,22-01-2020,2940
CC-F01            ,23-01-2020,19060
CC-F01            ,06-02-2020,8810
CC-F01            ,07-02-2020,13190
CC-F01            ,21-02-2020,23395
CC-F01            ,24-02-2020,1913
CC-F01            ,06-03-2020,23000
CC-F01            ,25-03-2020,1029
CC-F01            ,26-03-2020,21971
CC-F01            ,06-04-2020,23000
CC-F01            ,23-04-2020,3673
CC-F01            ,24-04-2020,19327
CC-F01            ,05-05-2020,6833
CC-F01            ,06-05-2020,16167
CC-F02            ,04-07-2019,19000
CC-F02            ,05-07-2019,1200
CC-F02            ,08-07-2019,24800
CC-F02            ,13-08-2019,19000
CC-F02            ,15-08-2019,19000
CC-F02            ,27-08-2019,5477
CC-F02            ,28-08-2019,13523
CC-F02            ,11-09-2019,12924
CC-F02            ,12-09-2019,6076
CC-F02            ,27-09-2019,19000
CC-F02            ,17-10-2019,20000
CC-F02            ,21-10-2019,15081
CC-F02            ,22-10-2019,10919
CC-F02            ,20-11-2019,21486
CC-F02            ,28-11-2019,2791
CC-F02            ,29-11-2019,18806
CC-F02            ,13-12-2019,6242
CC-F02            ,16-12-2019,14758
CC-F02            ,27-12-2019,13747
CC-F02            ,30-12-2019,7253
CC-F02            ,10-01-2020,21000
CC-F02            ,28-01-2020,4701
CC-F02            ,29-01-2020,17299
CC-F02            ,13-02-2020,8661
CC-F02            ,14-02-2020,13475
CC-F02            ,24-02-2020,21482
CC-F02            ,25-02-2020,1518
CC-F02            ,05-03-2020,23000
CC-F02            ,26-03-2020,1424
CC-F02            ,27-03-2020,26439
CC-F02            ,14-04-2020,908
CC-F02            ,15-04-2020,22092
CC-F02            ,28-04-2020,4858
CC-F02            ,29-04-2020,18142
CC-F02            ,06-05-2020,7228
CC-F02            ,07-05-2020,15772
CC-F03            ,10-07-2019,13600
CC-F03            ,11-07-2019,12400
CC-F03            ,17-07-2019,6800
CC-F03            ,18-07-2019,12200
CC-F03            ,12-08-2019,19000
CC-F03            ,15-08-2019,600
CC-F03            ,16-08-2019,18400
CC-F03            ,26-08-2019,4800
CC-F03            ,27-08-2019,14200
CC-F03            ,17-09-2019,13382
CC-F03            ,18-09-2019,5618
CC-F03            ,26-09-2019,18375
CC-F03            ,27-09-2019,625
CC-F03            ,18-10-2019,20736
CC-F03            ,21-10-2019,5264
CC-F03            ,22-10-2019,9959
CC-F03            ,23-10-2019,10041
CC-F03            ,21-11-2019,20000
CC-F03            ,29-11-2019,2562
CC-F03            ,02-12-2019,18438
CC-F03            ,16-12-2019,6610
CC-F03            ,17-12-2019,14390
CC-F03            ,30-12-2019,14736
CC-F03            ,31-12-2019,6264
CC-F03            ,13-01-2020,21000
CC-F03            ,23-01-2020,3527
CC-F03            ,24-01-2020,18473
CC-F03            ,11-02-2020,10571
CC-F03            ,12-02-2020,15321
CC-F03            ,25-02-2020,21877
CC-F03            ,26-02-2020,1123
CC-F03            ,10-03-2020,23000
CC-F03            ,23-03-2020,239
CC-F03            ,24-03-2020,22761
CC-F03            ,09-04-2020,513
CC-F03            ,14-04-2020,22487
CC-F03            ,24-04-2020,4068
CC-F03            ,27-04-2020,18932
CC-F03            ,08-05-2020,8018
CC-F03            ,11-05-2020,14982
CC-F04            ,15-07-2019,7000
CC-F04            ,16-07-2019,25200
CC-F04            ,17-07-2019,12800
CC-F04            ,14-08-2019,19000
CC-F04            ,28-08-2019,6154
CC-F04            ,29-08-2019,12846
CC-F04            ,13-09-2019,14278
CC-F04            ,16-09-2019,6972
CC-F04            ,30-09-2019,19000
CC-F04            ,24-10-2019,6856
CC-F04            ,25-10-2019,18475
CC-F04            ,06-11-2019,12236
CC-F04            ,07-11-2019,7764
CC-F04            ,26-11-2019,1055
CC-F04            ,27-11-2019,18945
CC-F04            ,03-12-2019,3298
CC-F04            ,04-12-2019,17702
CC-F04            ,17-12-2019,7599
CC-F04            ,18-12-2019,13401
CC-F04            ,03-01-2020,17703
CC-F04            ,06-01-2020,3297
