doc_number,delivery_date,customer_id
3,08-07-2019,80184
26,09-07-2019,80123
40,09-07-2019,80144
35,09-07-2019,80207
38,09-07-2019,80238
31,09-07-2019,80268
42,09-07-2019,80274
52,10-07-2019,80175
63,10-07-2019,80185
48,10-07-2019,80206
59,10-07-2019,80252
61,10-07-2019,80256
56,10-07-2019,80276
67,11-07-2019,80124
74,11-07-2019,80204
77,11-07-2019,80247
71,11-07-2019,80248
89,12-07-2019,80195
85,12-07-2019,80199
95,12-07-2019,80211
93,12-07-2019,80212
98,12-07-2019,80271
109,15-07-2019,80180
114,15-07-2019,80210
118,15-07-2019,80222
156,17-07-2019,80116
161,17-07-2019,80122
164,17-07-2019,80163
166,17-07-2019,80170
172,17-07-2019,80187
168,17-07-2019,80198
173,17-07-2019,80202
170,17-07-2019,80284
178,18-07-2019,80254
182,18-07-2019,80277
204,19-07-2019,80266
200,19-07-2019,80282
231,22-07-2019,80196
227,22-07-2019,80287
251,23-07-2019,80127
261,23-07-2019,80152
256,23-07-2019,80159
264,23-07-2019,80181
266,23-07-2019,80225
267,23-07-2019,80264
271,24-07-2019,80290
297,25-07-2019,80148
302,25-07-2019,80291
322,26-07-2019,80106
332,26-07-2019,80190
335,26-07-2019,80211
327,26-07-2019,80270
344,29-07-2019,80131
349,29-07-2019,80191
405,31-07-2019,80115
396,31-07-2019,80124
400,31-07-2019,80167
407,31-07-2019,80230
409,31-07-2019,80236
410,31-07-2019,80258
429,01-08-2019,80254
417,01-08-2019,80265
423,01-08-2019,80280
442,02-08-2019,80114
449,02-08-2019,80130
446,02-08-2019,80136
438,02-08-2019,80141
452,02-08-2019,80192
454,02-08-2019,80208
458,02-08-2019,80266
456,02-08-2019,80281
457,02-08-2019,80282
488,06-08-2019,80156
529,07-08-2019,80103
518,07-08-2019,80126
524,07-08-2019,80163
511,07-08-2019,80169
548,08-08-2019,80110
544,08-08-2019,80127
539,08-08-2019,80133
534,08-08-2019,80157
551,08-08-2019,80226
559,09-08-2019,80106
620,13-08-2019,80106
613,13-08-2019,80134
606,13-08-2019,80158
634,14-08-2019,80101
630,14-08-2019,80161
637,14-08-2019,80173
662,15-08-2019,80112
657,15-08-2019,80131
690,16-08-2019,80119
683,16-08-2019,80160
688,16-08-2019,80168
694,16-08-2019,80192
692,16-08-2019,80254
696,16-08-2019,80259
735,20-08-2019,80121
741,20-08-2019,80122
731,20-08-2019,80143
752,21-08-2019,80125
757,21-08-2019,80130
772,22-08-2019,80149
776,22-08-2019,80262
813,23-08-2019,80103
800,23-08-2019,80156
809,23-08-2019,80169
816,23-08-2019,80291
836,26-08-2019,80110
833,26-08-2019,80126
829,26-08-2019,80154
823,26-08-2019,80169
840,26-08-2019,80180
838,26-08-2019,80285
847,27-08-2019,80219
885,28-08-2019,80100
881,28-08-2019,80118
876,28-08-2019,80147
888,28-08-2019,80284
894,29-08-2019,80155
900,29-08-2019,80265
927,30-08-2019,80101
922,30-08-2019,80153
930,30-08-2019,80192
945,02-09-2019,80151
969,03-09-2019,80131
1006,04-09-2019,80117
1000,04-09-2019,80160
1018,05-09-2019,80118
1022,05-09-2019,80166
1028,05-09-2019,80188
1025,05-09-2019,80261
1039,06-09-2019,80165
1062,09-09-2019,80271
1095,10-09-2019,80122
1090,10-09-2019,80130
1103,10-09-2019,80210
1099,10-09-2019,80242
1111,11-09-2019,80163
1126,11-09-2019,80169
1119,11-09-2019,80170
1136,12-09-2019,80158
1175,13-09-2019,80127
1171,13-09-2019,80135
1167,13-09-2019,80136
1163,13-09-2019,80165
1185,16-09-2019,80150
1214,17-09-2019,80113
1209,17-09-2019,80161
1233,18-09-2019,80115
1247,18-09-2019,80221
1244,18-09-2019,80264
1239,18-09-2019,80278
1254,19-09-2019,80151
1261,19-09-2019,80167
1265,19-09-2019,80276
1279,20-09-2019,80131
1284,20-09-2019,80137
1308,23-09-2019,80117
1302,23-09-2019,80160
1326,24-09-2019,80118
1331,24-09-2019,80242
1351,25-09-2019,80143
1361,25-09-2019,80144
1377,26-09-2019,80114
1372,26-09-2019,80125
1382,26-09-2019,80230
1415,27-09-2019,80121
1408,27-09-2019,80130
1402,27-09-2019,80142
1413,27-09-2019,80149
1416,27-09-2019,80279
1446,01-10-2019,80134
1452,01-10-2019,80140
1457,01-10-2019,80213
1479,02-10-2019,80135
1468,02-10-2019,80136
1473,02-10-2019,80157
1483,02-10-2019,80250
1495,03-10-2019,80162
1517,04-10-2019,80161
1550,07-10-2019,80125
1555,07-10-2019,80148
1542,07-10-2019,80151
1569,08-10-2019,80134
1565,08-10-2019,80138
1587,09-10-2019,80147
1593,09-10-2019,80156
1604,09-10-2019,80215
1599,09-10-2019,80216
1624,10-10-2019,80117
1612,10-10-2019,80131
1618,10-10-2019,80160
1639,11-10-2019,80104
1633,11-10-2019,80124
1661,14-10-2019,80144
1668,14-10-2019,80228
1696,15-10-2019,80139
1693,15-10-2019,80164
1685,15-10-2019,80165
1711,16-10-2019,80149
1732,17-10-2019,80148
1766,18-10-2019,80128
1758,18-10-2019,80145
1812,22-10-2019,80118
1807,22-10-2019,80141
1828,23-10-2019,80152
1877,25-10-2019,80115
1882,25-10-2019,80230
1899,28-10-2019,80131
1904,28-10-2019,80257
1930,29-10-2019,80117
1925,29-10-2019,80131
1948,30-10-2019,80149
1953,30-10-2019,80196
1971,31-10-2019,80115
1982,31-10-2019,80160
1976,31-10-2019,80166
1989,31-10-2019,80171
1986,31-10-2019,80225
1999,01-11-2019,80141
2010,01-11-2019,80188
2004,01-11-2019,80256
2007,01-11-2019,80261
2025,04-11-2019,80204
2021,04-11-2019,80245
2045,05-11-2019,80121
2051,05-11-2019,80163
2058,05-11-2019,80169
2069,06-11-2019,80101
2074,06-11-2019,80180
2101,07-11-2019,80136
2096,07-11-2019,80165
2130,08-11-2019,80100
2122,08-11-2019,80118
2117,08-11-2019,80141
2126,08-11-2019,80159
2134,08-11-2019,80236
2135,08-11-2019,80265
2144,11-11-2019,80254
2178,12-11-2019,80105
2169,12-11-2019,80151
2174,12-11-2019,80158
2189,13-11-2019,80115
2195,13-11-2019,80138
2218,14-11-2019,80144
2213,14-11-2019,80157
2221,14-11-2019,80221
2254,15-11-2019,80103
2245,15-11-2019,80131
2250,15-11-2019,80138
2239,15-11-2019,80156
2255,15-11-2019,80262
2265,18-11-2019,80167
2289,19-11-2019,80113
2295,19-11-2019,80143
2310,20-11-2019,80164
2347,21-11-2019,80104
2344,21-11-2019,80120
2331,21-11-2019,80139
2336,21-11-2019,80142
2364,22-11-2019,80111
2358,22-11-2019,80148
2385,25-11-2019,80155
2380,25-11-2019,80169
2405,26-11-2019,80126
2417,26-11-2019,80135
2411,26-11-2019,80136
2455,28-11-2019,80150
2461,28-11-2019,80152
2467,28-11-2019,80171
2466,28-11-2019,80268
2469,28-11-2019,80278
2475,29-11-2019,80113
2481,29-11-2019,80133
2501,02-12-2019,80115
2508,02-12-2019,80167
2536,03-12-2019,80137
2527,03-12-2019,80164
2540,03-12-2019,80247
2557,04-12-2019,80131
2548,04-12-2019,80143
2561,04-12-2019,80244
2576,05-12-2019,80119
2581,05-12-2019,80229
2579,05-12-2019,80253
2603,06-12-2019,80115
2608,06-12-2019,80160
2597,06-12-2019,80167
2611,06-12-2019,80217
2647,10-12-2019,80130
2670,11-12-2019,80246
2675,11-12-2019,80287
2699,12-12-2019,80140
2702,12-12-2019,80145
2693,12-12-2019,80155
2709,12-12-2019,80181
2708,12-12-2019,80184
2705,12-12-2019,80213
2710,12-12-2019,80225
2707,12-12-2019,80293
2718,13-12-2019,80201
2742,16-12-2019,80118
2748,16-12-2019,80262
2766,17-12-2019,80161
2782,17-12-2019,80190
2775,17-12-2019,80247
2803,18-12-2019,80102
2789,18-12-2019,80113
2798,18-12-2019,80114
2800,18-12-2019,80133
2794,18-12-2019,80151
2815,19-12-2019,80158
2820,19-12-2019,80286
2854,20-12-2019,80101
2848,20-12-2019,80128
2852,20-12-2019,80131
2845,20-12-2019,80147
2840,20-12-2019,80159
2863,23-12-2019,80131
2868,23-12-2019,80265
2893,24-12-2019,80112
2887,24-12-2019,80117
2897,24-12-2019,80149
2900,24-12-2019,80259
2910,25-12-2019,80167
2916,25-12-2019,80233
2929,26-12-2019,80165
2933,26-12-2019,80293
2967,27-12-2019,80129
2961,27-12-2019,80139
2955,27-12-2019,80141
2994,30-12-2019,80100
2982,30-12-2019,80120
2988,30-12-2019,80122
2992,30-12-2019,80148
2997,30-12-2019,80188
2996,30-12-2019,80256
3008,31-12-2019,80134
3002,31-12-2019,80156
3017,31-12-2019,80204
3013,31-12-2019,80234
3036,02-01-2020,80126
3043,02-01-2020,80136
3030,02-01-2020,80154
3040,02-01-2020,80165
3054,03-01-2020,80123
3077,06-01-2020,80150
3083,06-01-2020,80253
3085,06-01-2020,80273
3109,07-01-2020,80113
3114,07-01-2020,80114
3103,07-01-2020,80152
3117,07-01-2020,80258
3118,07-01-2020,80265
3125,08-01-2020,80133
3134,08-01-2020,80148
3138,08-01-2020,80151
3141,08-01-2020,80200
3156,09-01-2020,80128
3149,09-01-2020,80147
3171,10-01-2020,80131
3177,10-01-2020,80213
3194,13-01-2020,80117
3198,13-01-2020,80149
3205,13-01-2020,80278
3224,14-01-2020,80111
3219,14-01-2020,80113
3244,15-01-2020,80166
3275,16-01-2020,80130
3270,16-01-2020,80136
3307,17-01-2020,80107
3293,17-01-2020,80116
3303,17-01-2020,80149
3313,20-01-2020,80134
3318,20-01-2020,80145
3323,20-01-2020,80215
3346,21-01-2020,80136
3338,21-01-2020,80154
3356,21-01-2020,80230
3352,21-01-2020,80251
3363,22-01-2020,80202
3373,22-01-2020,80257
3368,22-01-2020,80263
3387,23-01-2020,80161
3394,23-01-2020,80182
3402,23-01-2020,80228
3399,23-01-2020,80259
3405,23-01-2020,80281
3413,24-01-2020,80152
3429,24-01-2020,80177
3425,24-01-2020,80227
3420,24-01-2020,80275
3443,28-01-2020,80103
3435,28-01-2020,80125
3439,28-01-2020,80134
3449,28-01-2020,80184
3451,28-01-2020,80193
3446,28-01-2020,80293
3459,29-01-2020,80159
3466,29-01-2020,80256
3494,30-01-2020,80131
3490,30-01-2020,80143
3499,30-01-2020,80188
3501,30-01-2020,80226
3497,30-01-2020,80261
3517,31-01-2020,80101
3510,31-01-2020,80117
3520,31-01-2020,80247
3543,03-02-2020,80118
3536,03-02-2020,80167
3546,03-02-2020,80191
3555,04-02-2020,80121
3565,04-02-2020,80219
3560,04-02-2020,80242
3569,04-02-2020,80273
3580,05-02-2020,80230
3610,06-02-2020,80116
3606,06-02-2020,80142
3615,06-02-2020,80149
3619,06-02-2020,80265
3636,07-02-2020,80140
3628,07-02-2020,80169
3640,07-02-2020,80176
3643,07-02-2020,80259
3665,10-02-2020,80104
3652,10-02-2020,80128
3658,10-02-2020,80129
3663,10-02-2020,80163
3667,10-02-2020,80246
3682,11-02-2020,80135
3676,11-02-2020,80136
3702,12-02-2020,80162
3707,12-02-2020,80206
3725,13-02-2020,80152
3748,14-02-2020,80125
3753,14-02-2020,80138
3757,14-02-2020,80199
3780,17-02-2020,80147
3775,17-02-2020,80164
3795,18-02-2020,80111
3802,18-02-2020,80216
3820,19-02-2020,80112
3825,19-02-2020,80149
3831,19-02-2020,80217
3828,19-02-2020,80273
3853,20-02-2020,80115
3858,20-02-2020,80166
3849,20-02-2020,80167
3843,20-02-2020,80170
